Ticker
ET
F
PCG
VG
KEY
VTRS
PR
PAA
KIM
PSLV
HST
DOC
AUR
FHN
WULF
AM
AES
LUMN
RIOT
ONB
AAL
CIFR
PRMB
LEVI
RIG
IBRX
VLY
NOV
CWAN
HR
SGHC
S
FNB
GTES
OSCR
MAC
FLG
ZGN
M
BGC
MARA
SBRA
GBTG
ZETA
PTEN
MDU
EBC
RELY
ONDS
WSC
TFSL
CRGY
LION
COLD
KC
CLSK
FULT
LBTYA
DNP
IRT
AMRX
FLNC
BNL
NVST
ARX
FBP
HIMX
CVBF
RUM
INFQ
BTDR
OGN
ERAS
RDW
GNW
APLE
KYIV
CC
BKD
GEO
SFNC
MPT
TXG
NN
DNLI
DBRG
RCUS
AKR
TNGX
WT
BANC
PFS
DYN
LFST
IHS
UE
ALMS
DHT
QUBT
CALY
SPNT
WTTR
UNIT
TALO
FA
VNET
BW
RLAY
FSLY
HUN
HOG
DFTX
IMNM
OSW
AESI
MNR
HE
UA
PK
SOC
AMPX
XIFR
PENN
TE
NEXT
POET
DRH
SLDE
ACHC
CXW
DHC
BCRX
CTOS
NVCR
PUMP
PBI
SEM
PCT
NWBI
FUN
TRVI
NTST
FLYW
LWLG
SHO
GNL
AUPH
PGNY
NEOG
NEXA
FCF
JBLU
AGRO
ARCO
NAC
NRIX
XPRO
TH
VRE
KRP
SFL
SNDX
MD
FIVN
BORR
EFC
PEB
SHLS
INVA
SGML
HLIT
BDJ
NVRI
STGW
CMPS
GLUE
ABCL
HOPE
TSHA
SATL
OPRA
XHR
VSTS
VIR
KW
DCH
NVAX
ECVT
AMLX
LAR
HLX
TRIN
RLJ
ARI
SLS
BCAX
AHCO
CSWC
TTI
HCSG
MRTN
LIND
CRML
TWO
NPKI
ACDC
CSIQ
PRA
ADTN
MUX
FTRE
UAMY
TROX
GILT
IART
SG
TK
AVNS
NAT
CDNA
DEC
HTLD
CIM
JBIO
GPRE
OCFC
HYLN
LPTH
CRVS
SVRA
PDM
KURA
HPK
CFFN
KODK
KOPN
LXU
AVR
NRGV
EVC
PSNL
DRTS
TALK
ANNX
ABX
CODI
AVTX
ARKO
MGTX
SPIR
CGEM
OMER
CRSR
WEST
UMAC
ADAM
ABSI
AURA
BVS
ASC
RLMD
CGNT
GRNT
MITK
GRPN
SXC
CYRX
DC
VELO
DSGN
INN
AHRT
BLMN
BZH
SLDB
CLYM
GPRK
ALOY
EGY
ZVRA
RYAM
CADL
INV
PACK
OIS
SRTA
KYTX
PANL
CRNC
OSPN
PUBM
ASPN
IMMX
STTK
BLZE
IMXI
LZM
CAL
OSS
SGMT
OPTX
VUZI
CCRN
ALMU
SIDU
GRRR
EOLS
MEI
CEPT
RILY
AIRS
PAYS
XPER
QUIK
SHMD
DUOT
DBI
ATOM
GSIT
TENX
RMAX
ABEO
BRUN
FNKO
LTRX
IMPP
CGEH
UNCY
MX
ARTV
TORO
TRT
SKLZ
QMCO
AMPG
BNAI
PSIG
CPSH
PIII
EDSA
CPIX
CUE
CLNN
IPWR
RDAC
ROLR
ASTI
FABC
AKTX
BTX
BCAT
